172.16.32.6,MKT_REMEDIOS,NODO_PRIMARIO,NODOP_SECT-1
172.16.32.8,MKT_LA_ESPERANZA,NODO_PRIMARIO,NODOP_SECT-2
172.16.99.62,MKT_RUCA132,Ricu132,MKT_RUCA132
172.16.132.2,RICU132_SECT-1,Ricu132,RICU132_SECT-1
172.16.132.3,RICU132_SECT-3,Ricu132,RICU132_SECT-3
172.16.132.4,RICU132_PTP-1,Ricu132,RICU132_PTP-1
172.16.132.12,MKT_LA_ISLA,Ricu132,RICU-132-SECT-1
172.16.132.14,MKT_KOLOYOSU,Ricu132,RICU-132-SECT-2
172.16.132.16,MKT_NAZARETH,Ricu132,RICU-132-SECT-1
172.16.132.18,MKT_WARALAMANA,Ricu132,MKT_WARALAMANA
172.16.132.20,MKT_KANEWAKAK,Ricu132,RICU-132-SECT-2
172.16.132.22,MKT_TOURETAKAK,Ricu132,RICU-132-SECT-2
172.16.132.24,MKT_MANAMON,Ricu132,MKT_MANAMON
172.16.132.26,MKT_KACHALERAY_2,Ricu132,MKT_KACHALERAY_2
172.16.132.28,MKT_LIMASIRA,Ricu132,PTP4|HUB_KACHARELAY-LIMASIRA
172.16.132.30,MKT_KURILLAMANA,Ricu132,RICU-132-SECT-2
172.16.132.32,MKT_SINAMAIKA,Ricu132,RICU-132-SECT-2
172.16.132.34,MKT_ULUMACHIMANA,Ricu132,PTP2|HUB-SINAMAIKA_ULUMACHIMAN
172.16.132.36,MKT_JAMAICA,Ricu132,PTP3|HUB-ULUMACHIMANA_JAIMANA
172.16.99.47,MKT_RICU46,Ricu46,MKT_RICU46
172.16.46.2,RICU46_SECT-1,Ricu46,RICU46_SECT-1
172.16.46.3,RICU46_SECT-2,Ricu46,RICU46_SECT-2
172.16.46.4,RICU46_PTP-1,Ricu46,RICU46_PTP-1
172.16.46.12,MKT_MONTAÑITA_INS_EDU,Ricu46,RICU-46-SECT-2
172.16.46.14,MKT_LIMONAL_INS_EDU,Ricu46,RICU-46-SECT-2
172.16.46.16,MKT_PARAISO_INS_EDU,Ricu46,PTP1|PARAISO
172.16.46.18,MKT_UCA_SABANA_B,Ricu46,RICU-46-SECT-1
172.16.46.20,MKT_KAYUICHIS,Ricu46,RICU-46-SECT-2
172.16.46.22,MKT_MARIA_ANGOLA,Ricu46,RICU-46-SECT-2
172.16.46.24,MKT_EL_MOJAN,Ricu46,RICU-46-SECT-1
172.16.46.26,MKT_SOLOVITA_UCA_VILLA_JULIA,Ricu46,RICU-46-SECT-2
172.16.46.28,MKT_UCA_VILLA_JULIA,Ricu46,RICU-46-SECT-2
172.16.99.32,MKT_RUCA132,Rima170,MKT_RUCA132	
172.16.170.2,RIMA170_SECT-1,Rima170,RIMA170_SECT-1
172.16.170.3,RIMA170_SECT-2,Rima170,RIMA170_SECT-2
172.16.170.4,RIMA170_SECT-3,Rima170,RIMA170_SECT-3
172.16.170.5,RIMA170_SECT-4,Rima170,RIMA170_SECT-4
172.16.170.6,RIMA170_PTP-1,Rima170,RIMA170_PTP-1
172.16.170.12,MKT_TALOHUMANA,Rima170,RIMA-170-SECT-2
172.16.170.14,MKT_EL_CORAL,Rima170,RIMA-170-SECT-2
172.16.170.16,MKT_MASHOU_2,Rima170,RIMA-170-SECT-2
172.16.170.18,*MKT_ISHOPA,Rima170,*MKT_ISHOPA
172.16.170.20,MKT_KALENTISUMANA,Rima170,RIMA-170-SECT-1_2
172.16.170.22,MKT_MASHOU_1,Rima170,RIMA-170-SECT-3
172.16.170.24,MKT_PALASUMANA,Rima170,RIMA-170-SECT-3
172.16.170.26,MKT_WASHINTONG,Rima170,RIMA-170-SECT-3
172.16.170.28,MKT_SAN_NICOLAS,Rima170,RIMA-170-SECT-2
172.16.170.30,MKT_YOSURU,Rima170,RIMA-170-SECT-4
172.16.170.32,MKT_KASUMANA,Rima170,RIMA-170-SECT-1
172.16.170.34,MKT_LA_CRUZ,Rima170,RIMA-170-SECT-2
172.16.170.36,MKT_CUTANAMANA,Rima170,RIMA-170-SECT-2
172.16.170.38,MKT_JEPCHON,Rima170,RIMA-170-SECT-1
172.16.170.40,MKT_LOMAFRESCA_UCA_SHAIN,Rima170,RIMA-170-SECT-3
172.16.170.42,MKT_MIRAFLORES,Rima170,RIMA-170-SECT-3
172.16.170.44,MKT_OLONOKIAO,Rima170,RIMA-170-SECT-4
172.16.170.46,MKT_KULINACHI,Rima170-1,RIMA-170-SECT-1_1
172.16.170.50,MKT_MOUWASIRA,Rima170-1,RIMA-170-SECT-1_1
172.16.170.52,MKT_UCA_ISHAIN,Rima170-1,RIMA-170-SECT-1_1
172.16.99.17,MKT_RIMA51,Rima51,MKT_RIMA51
172.16.51.2,RIMA51_SECT-1,Rima51,RIMA51_SECT-1
172.16.51.3,RIMA51_SECT-2,Rima51,RIMA51_SECT-2
172.16.51.12,MKT_JUTPUNARE,Rima51,RIMA-51-SECT-2
172.16.51.14,MKT_JASAISHIAO,Rima51,RIMA-51-SECT-1
172.16.51.16,MKT_PULITCHAMANA,Rima51,RIMA-51-SECT-1
172.16.51.18,MKT_EL_TABLAZO,Rima51,RIMA-51-SECT-2
172.16.51.20,MKT_PIYULACHON,Rima51,RIMA-51-SECT-1
172.16.51.22,MKT_JESOMANA,Rima51,RIMA-51-SECT-1
172.16.51.24,MKT_IRRUWANALY,Rima51,RIMA-51-SECT-1
172.16.51.26,MKT_YARETSHIKAL,Rima51,RIMA-51-SECT-2
172.16.51.28,MKT_URRAICHI,Rima51,RIMA-51-SECT-2
