190.0.11.106,MKT_OXI40-MAICAO,GPON,WAYIRANET
172.16.32.2,SECT-1,NODO PRI,RADW-NP_SECT-1
172.16.32.3,SECT-2,NODO PRI,RADW-NP_SECT-2
172.16.32.6,MKT_REMEDIOS,PAC/NODO PRI,NP_SECT-1
172.16.32.8,MKT_ESPERANZA,PAC/NODO PRI,NP_SECT-1
172.16.46.2,SECT-1,RICU 46,RADW-R46_SECT-1
172.16.46.3,SECT-2,RICU 46,RADW-R46_SECT-2
172.16.46.4,PTP-1,RICU 46,RADW-R46_PTP-1
172.16.46.12,MKT_MONTANITA,PAC/RICU 46,RICU46|SECT-2
172.16.46.14,MKT_LIMONAL,PAC/RICU 46,RICU46|SECT-2
172.16.46.16,MKT_PARAISO PTP-1,PAC/RICU 46,RICU46|PTP'S
172.16.46.18,MKT_UCA_SABANA,PAC/RICU 46,RICU46|SECT-1
172.16.46.20,MKT_KAYUICHIS,PAC/RICU 46,RICU46|SECT-2
172.16.46.22,MKT_MARIA_ANGOLA,PAC/RICU 46,RICU46|SECT-2
172.16.46.24,MKT_EL_MOJAN,PAC/RICU 46,RICU46|SECT-1
172.16.46.26,MKT_SOLOVITA,PAC/RICU 46,RICU46|SECT-2
172.16.46.28,MKT_UCA_VILLA_JULIA,PAC/RICU 46,RICU46|SECT-2
172.16.51.2,SECT-1,RIMA 51,RADW-R51_SECT-1
172.16.51.3,SECT-2,RIMA 51,RADW-R51_SECT-2
172.16.51.12,MKT_JUTPUNARE,CC/RIMA 51,RIMA51|SECT-2
172.16.51.14,MKT_JASAISHIAO,CC/RIMA 51,RIMA51|SECT-1
172.16.51.16,MKT_PULITCHAMANA,CC/RIMA 51,RIMA51|SECT-1
172.16.51.18,MKT_El_TABLAZO,PAC/RIMA 51,RIMA51|SECT-2
172.16.51.20,MKT_PIYULACHON,PAC/RIMA 51,RIMA51|SECT-1
172.16.51.22,MKT_JESOMANA,PAC/RIMA 51,RIMA51|SECT-1
172.16.51.24,MKT_IRRUWANALY,PAC/RIMA 51,RIMA51|SECT-1
172.16.51.26,MKT_YARETSHIKAL,PAC/RIMA 51,RIMA51|SECT-2
172.16.51.28,MKT_URRAICHI,PAC/RIMA 51,RIMA51|SECT-2
172.16.51.30,MKT_BELEN,PAC/RIMA 51,RIMA51|SECT-2
172.16.51.32,MKT_MANATU,PAC/RIMA 51,RIMA51|SECT-1
172.16.51.34,MKT_CAPECHIRAPU,PAC/RIMA 51,RIMA51|SECT-1
172.16.51.36,MKT_JIRRAWAIKAT,PAC/RIMA 51,RIMA51|SECT-1
172.16.99.1,MKT_EDGE,NODO PRI,NODO PRI
172.16.99.2,DATACOM_RIMA,MPLS_RIMA,NODO PRI
172.16.99.3,DATACOM_RICU,MPLS_RICU,NODO PRI
172.16.99.5,NP_IDU-S,NODO PRI,SW_RADW_NPRI
172.16.99.16,R51_DATACOM,RIMA 51,SW_DCOM_R51
172.16.99.17,MKT_RIMA51,RIMA 51,TORRE_R51
172.16.99.18,R51_IDU-S,RIMA 51,SW_RADW_R51
172.16.99.19,CAM_R51,RIMA 51,CAM_R51-TORRE
172.16.99.31,R170_DATACOM,RIMA 170,SW_DCOM_R170
172.16.99.32,MKT_RIMA170,RIMA 170,TORRE_R170
172.16.99.33,R170_IDU-S,RIMA 170,SW_RADW_R170
172.16.99.34,CAM_R170,RIMA 170,CAM_R170-TORRE
172.16.99.36,MP_IDU-S,MONOPOLO,SW_DTCOM_MP
172.16.99.46,DATACOM_R46,RICU 46,DATACOM_RICU46
172.16.99.47,MKT_RICU46,RICU 46,TORRE_R46
